LoyaltyID,Customer ID,Gender,Age,Under 30,Senior Citizen,Partner,Dependents,Number of Dependents,Referred a Friend,Number of Referrals,Tenure,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn
514191,0103-CSITQ,Female,20,Yes,No,Yes,No,0,Yes,10,57,Yes,8.01,Yes,Yes,Fiber Optic,73,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.4,6252.7,0,0,456.57,6709.27,No
275499,0104-PPXDV,Male,61,No,No,Yes,No,0,Yes,10,58,Yes,18.37,No,Yes,DSL,18,No,No,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),50.3,2878.55,10.23,0,1065.46,3933.78,No
968867,0106-GHRQR,Male,24,Yes,No,No,No,0,No,0,16,Yes,25.71,Yes,Yes,DSL,48,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),71.4,1212.1,0,0,411.36,1623.46,No
915974,0106-UGRDO,Female,55,No,No,Yes,No,0,Yes,3,69,Yes,38.52,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,116,8182.85,0,0,2657.88,10840.73,No
790496,0107-WESLM,Male,32,No,No,No,No,0,No,0,1,Yes,31.77,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,19.85,19.85,0,0,31.77,51.62,Yes
652238,0107-YHINA,Male,59,No,No,No,Yes,0,No,0,1,Yes,40.71,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,0,0,40.71,140.46,Yes
539181,0111-KLBQG,Male,71,No,Yes,Yes,Yes,1,Yes,9,32,Yes,31.86,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,93.95,2861.45,0,0,1019.52,3880.97,No
690175,0112-QAWRZ,Male,49,No,No,Yes,Yes,2,Yes,8,16,Yes,48.71,Yes,Yes,Fiber Optic,12,No,No,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),90.8,1442.2,0,0,779.36,2221.56,No
414027,0112-QWPNC,Male,61,No,No,Yes,No,0,Yes,1,49,Yes,39.55,Yes,Yes,Cable,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,84.35,4059.35,0,0,1937.95,5997.3,Yes
284679,0114-IGABW,Female,40,No,No,Yes,No,0,Yes,2,71,No,0,No phone service,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),58.25,4145.9,0,0,0,4145.9,No
343315,0114-PEGZZ,Female,39,No,No,No,No,0,No,0,33,Yes,49.69,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,107.55,3645.5,0,0,1639.77,5285.27,No
121095,0114-RSRRW,Female,21,Yes,No,Yes,No,0,Yes,9,10,Yes,49.6,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),19.95,187.75,0,0,496,683.75,No
122599,0115-TFERT,Male,24,Yes,No,Yes,No,0,Yes,1,21,Yes,36.26,Yes,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,111.2,2317.1,0,120,761.46,3198.56,Yes
532334,0117-LFRMW,Male,52,No,No,Yes,Yes,1,Yes,1,37,No,0,No phone service,Yes,DSL,23,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,0,0,0,1448.8,Yes
552759,0118-JPNOY,Female,71,No,Yes,No,No,0,No,0,26,Yes,33.74,No,Yes,Fiber Optic,7,Yes,No,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.8,2193.65,0,0,877.24,3070.89,No
199493,0121-SNYRK,Male,45,No,No,No,No,0,No,0,50,No,0,No phone service,Yes,DSL,7,Yes,No,No,Yes,No,No,No,Yes,One year,Yes,Mailed check,35.4,1748.9,0,0,0,1748.9,No
740837,0122-OAHPZ,Female,29,Yes,No,No,No,0,No,0,7,Yes,28.62,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,73.85,511.25,13.03,0,200.34,698.56,Yes
123453,0123-CRBRT,Female,62,No,No,Yes,Yes,0,Yes,1,61,Yes,47.19,Yes,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,88.1,5526.75,0,0,2878.59,8405.34,No
292958,0125-LZQXK,Male,42,No,No,No,No,0,No,0,15,Yes,45.92,No,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,1553.95,0,0,688.8,2242.75,Yes
925850,0128-MKWSG,Female,51,No,No,No,Yes,2,No,0,26,No,0,No phone service,Yes,DSL,19,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,45.8,1147,0,0,0,1147,No
205697,0129-KPTWJ,Male,39,No,No,Yes,No,0,Yes,9,72,Yes,33.22,No,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,6747.35,0,0,2391.84,9139.19,No
791280,0129-QMPDR,Male,64,No,No,Yes,Yes,0,Yes,1,44,Yes,27.4,No,No,No Internet,0,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),20.5,865.05,0,0,1205.6,2070.65,No
231384,0130-SXOUN,Male,55,No,No,No,No,0,No,0,66,Yes,48.78,Yes,Yes,Fiber Optic,8,No,Yes,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),89.4,5976.9,36.02,40,3219.48,9200.36,No
717341,0133-BMFZO,Female,40,No,No,No,No,0,No,0,2,Yes,36.81,No,Yes,Fiber Optic,16,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.25,181.65,0,0,73.62,255.27,Yes
907546,0134-XWXCE,Female,76,No,Yes,No,No,0,No,0,44,Yes,7.72,No,Yes,DSL,17,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,17.91,0,339.68,3589.82,No
486582,0135-NMXAP,Female,57,No,No,No,No,0,No,0,12,Yes,14.38,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.75,1052.4,0,0,172.56,1224.96,Yes
905524,0136-IFMYD,Male,71,No,Yes,Yes,No,0,Yes,1,69,Yes,18.41,Yes,Yes,Fiber Optic,17,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,109.95,7634.25,0,0,1270.29,8904.54,No
313673,0137-OCGAB,Female,25,Yes,No,No,No,0,No,0,1,Yes,1.23,Yes,Yes,Fiber Optic,69,No,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,80.2,80.2,0,0,1.23,81.43,Yes
484939,0137-UDEUO,Female,24,Yes,No,No,No,0,No,0,3,Yes,25.75,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.85,63.75,0,0,77.25,141,Yes
934267,0139-IVFJG,Female,19,Yes,No,Yes,No,0,Yes,10,2,Yes,4.65,No,Yes,Fiber Optic,53,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,90.35,190.5,0,0,9.3,199.8,No
736572,0141-YEAYS,Female,77,No,Yes,No,No,0,No,0,27,Yes,2.97,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.45,2401.05,0,0,80.19,2481.24,No
988833,0142-GVYSN,Male,57,No,No,No,No,0,No,0,26,Yes,13.34,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,20.3,511.25,0,0,346.84,858.09,No
625825,0147-ESWWR,Female,73,No,Yes,Yes,No,0,Yes,9,39,Yes,20.15,Yes,Yes,Fiber Optic,21,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.25,3949.15,0,0,785.85,4735,No
781727,0148-DCDOS,Male,41,No,No,No,No,0,No,0,25,Yes,34.88,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),94.7,2362.1,0,0,872,3234.1,Yes
869096,0151-ONTOV,Female,43,No,No,No,No,0,No,0,1,Yes,39.81,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,70.9,70.9,0,0,39.81,110.71,Yes
166385,0156-FVPTA,Male,48,No,No,Yes,No,0,Yes,1,22,Yes,27.24,No,Yes,DSL,21,Yes,No,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,54.2,1152.7,0,0,599.28,1751.98,Yes
263246,0164-APGRB,Female,56,No,No,No,No,0,No,0,72,Yes,48.37,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,114.9,8496.7,0,0,3482.64,11979.34,No
533188,0164-XAIRP,Female,51,No,No,No,No,0,No,0,24,Yes,10.64,No,No,No Internet,0,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),19.55,470.2,0,0,255.36,725.56,No
541898,0168-XZKBB,Female,34,No,No,Yes,No,0,Yes,8,19,Yes,7.84,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,86.85,1564.4,0,0,148.96,1713.36,No
137100,0174-QRVVY,Male,21,Yes,No,Yes,Yes,2,Yes,2,71,Yes,9.2,Yes,No,No Internet,0,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),25.35,1847.55,0,0,653.2,2500.75,No
705467,0177-PXBAT,Male,78,No,Yes,Yes,No,0,Yes,7,33,Yes,25.15,Yes,Yes,Fiber Optic,20,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),109.9,3694.7,0,0,829.95,4524.65,No
561588,0178-CIIKR,Female,60,No,No,No,No,0,No,0,3,Yes,2.69,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,19.95,58,0,0,8.07,66.07,No
941621,0178-SZBHO,Male,54,No,No,Yes,Yes,1,Yes,7,47,Yes,1.09,Yes,Yes,Fiber Optic,13,No,Yes,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,87.2,4017.45,0,0,51.23,4068.68,No
595556,0181-RITDD,Male,42,No,No,Yes,Yes,3,Yes,2,62,Yes,1.76,No,Yes,Fiber Optic,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,108.15,6825.65,0,0,109.12,6934.77,No
950107,0186-CAERR,Male,22,Yes,No,No,No,0,No,0,71,Yes,2.88,Yes,Yes,Fiber Optic,48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),116.3,8309.55,0,0,204.48,8514.03,No
687102,0187-QSXOE,Male,71,No,Yes,Yes,No,0,Yes,8,7,Yes,41.97,No,Yes,Fiber Optic,11,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,89,605.45,0,0,293.79,899.24,No
240557,0187-WZNAB,Female,56,No,No,Yes,Yes,2,Yes,6,27,Yes,46.66,No,Yes,Fiber Optic,28,Yes,No,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,74.4,1972.35,0,0,1259.82,3232.17,No
272424,0188-GWFLE,Male,33,No,No,No,No,0,No,0,2,Yes,1.81,No,No,No Internet,0,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.05,33.7,0,0,3.62,37.32,No
400858,0191-EQUUH,Female,32,No,No,No,Yes,3,No,0,25,No,0,No phone service,Yes,Cable,75,Yes,No,No,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),35.05,844.45,0,0,0,844.45,No
918592,0191-ZHSKZ,Male,80,No,Yes,No,No,0,No,0,30,Yes,38.61,No,Yes,DSL,5,Yes,Yes,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,0,1158.3,3269.6,No
930793,0193-ESZXP,Female,73,No,Yes,Yes,No,0,Yes,1,58,Yes,16.94,No,Yes,Fiber Optic,19,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.5,6205.5,0,0,982.52,7188.02,Yes
